url,comment_user,comment_user_url,comment_date,comment,likes_number,replies_number,replies,hashtag_comment,tagged_users_in_comment,post_url,post_user,comment_id,post_id
"https://www.instagram.com/badespi_","fab███vf","https://www.instagram.com/fabiacvf","2024-11-13T20:01:57.000Z","👏👏👏",1,1,"[{""likes_number"":1,""reply"":""@fabiacvf 👏👏👏"",""reply_date"":""2024-11-14T12:38:40.000Z"",""reply_user"":""bad███i_""}]","null","null","https://www.instagram.com/p/DCUcCAHvEli","bad███i_","17950283516855389","3500546093244762466"
"https://www.instagram.com/badespi_","des███opi███","https://www.instagram.com/destinopiaui","2024-11-13T17:11:39.000Z","😍😍😍",1,1,"[{""likes_number"":0,""reply"":""@destinopiaui 😍👏👏"",""reply_date"":""2024-11-13T19:08:22.000Z"",""reply_user"":""bad███i_""}]","null","null","https://www.instagram.com/p/DCUcCAHvEli","bad███i_","17898726269997612","3500546093244762466"
"https://www.instagram.com/cojuvpiaui","mar███osb███","https://www.instagram.com/marciaosb16","2024-11-13T23:00:46.000Z","Meu querido @euwanderson7  que  foi nosso delegado representando o nosso estado e o Vale do Sambito, Novo Oriente do Piauí.",1,1,"[{""likes_number"":0,""reply"":""@marciaosb16 ❤️🫶🥰"",""reply_date"":""2024-11-13T23:31:59.000Z"",""reply_user"":""euw███ers███""}]","null","[""@eu███der███7""]","https://www.instagram.com/p/DCT93_2p7bG","coj███iau███","18061924726802006","3500413464368101062"
"https://www.instagram.com/gamilpiaui","tic███cau███","https://www.instagram.com/ticimacauff","2024-11-14T00:16:19.000Z","Com o professor Matheus Carvalho, realmente  sensacional 👏👏👏👏",3,1,"[{""likes_number"":0,""reply"":""👏👏🤝🤝"",""reply_date"":""2024-11-14T02:54:24.000Z"",""reply_user"":""esc███deg███rno█████████""}]","null","null","https://www.instagram.com/p/DCUhYQ4Pn2y","gam███iau███","17911720779035231","3500569613299514802"
"https://www.instagram.com/agespisa.oficial","bru███nca███cao███","https://www.instagram.com/brunoencarnacao","2024-11-14T17:33:11.000Z","@rafael.fonteles todo ano é isso. O único município na América do Sul, que fica sem água quando a água chega. Os cidadãos já não aguentam mais. Vai resolver isso quando? Delega alguém pra RESOLVER esse problema, meu camarada. Não existe isso, com orçamento que tem, 6 dias sem água. Vocês não resolvem pq não querem.",1,1,"[{""likes_number"":1,""reply"":""Nós não merecemos isso! Corrente não merece isso!"",""reply_date"":""2024-11-14T17:33:38.000Z"",""reply_user"":""bru███nca███cao███""}]","null","[""@ra███l""]","https://www.instagram.com/p/DCRWettOTUB","age███sa.███cia███","18023025227618405","3499677253128238337"
"https://www.instagram.com/setur_pi","flo███ser███tur██████","https://www.instagram.com/flordosertaoturismo","2024-11-13T21:58:18.000Z","👏❤️",2,1,"[{""likes_number"":0,""reply"":""@flordosertaoturismo obrigado 🙏"",""reply_date"":""2024-11-13T22:58:07.000Z"",""reply_user"":""zen███mon███roo███""}]","null","null","https://www.instagram.com/p/DCU1p1avATm","set███pi","18062206906823620","3500658781694199014"
"https://www.instagram.com/setur_pi","joa███nge███eju██████","https://www.instagram.com/joao_angelinejunior","2024-11-13T21:01:24.000Z","👏👏👏",2,1,"[{""likes_number"":1,""reply"":""@joao_angelinejunior vamo junto amigo 👏"",""reply_date"":""2024-11-13T22:58:13.000Z"",""reply_user"":""zen███mon███roo███""}]","null","null","https://www.instagram.com/p/DCU1p1avATm","set███pi","17897597340092935","3500658781694199014"
"https://www.instagram.com/adapi_pi","rod███ues███mun█████████","https://www.instagram.com/rodriguesraimunda_2005","2024-11-08T17:40:04.000Z","Ovinos, bubalinos , bovinos, equinos",1,1,"[{""likes_number"":1,""reply"":""@rodriguesraimunda_2005 👏"",""reply_date"":""2024-11-08T17:54:22.000Z"",""reply_user"":""ada███pi""}]","null","null","https://www.instagram.com/p/DCHnjZDyJQN","ada███pi","17885570628138037","3496937591579120653"
"https://www.instagram.com/adapi_pi","juv███iol███58","https://www.instagram.com/juvenciolima58","2024-11-14T21:40:56.000Z","O cadastro é grátis ou paga taxa?",1,2,"[{""likes_number"":0,""reply"":""@juvenciolima58 boa noite Juvêncio. Tanto o cadastro como  a atualização que começou dia 1/11 e vai até 21/12 são serviços sem custos ao produtor."",""reply_date"":""2024-11-14T21:55:13.000Z"",""reply_user"":""ada███pi""},{""likes_number"":1,""reply"":""@adapi_pi muito obrigado"",""reply_date"":""2024-11-14T22:05:55.000Z"",""reply_user"":""juv███iol███58""}]","null","null","https://www.instagram.com/p/DCHUswoudN6","ada███pi","18058173046882735","3496854672486552442"
"https://www.instagram.com/sascpiaui","dra███sic███eve███","https://www.instagram.com/drajessicanneves","2024-11-12T01:20:16.000Z","Orgulho dessa arquiteta genial que está a frente desse projeto de construção! @marinabsant",1,1,"[{""likes_number"":0,""reply"":""@drajessicanneves 😍"",""reply_date"":""2024-11-12T02:10:32.000Z"",""reply_user"":""mar███bsa███""}]","null","[""@ma███abs███""]","https://www.instagram.com/p/DCPCS15vXCj","sas███aui███","18011717465644318","3499025526410801315"
