Customer_ID,Recency,Frequency,Monetary,Avg_Order_Value,Session_Count,Avg_Session_Duration,Pages_Viewed,Clicks,Campaign_Response,Wishlist_Adds,Cart_Abandon_Rate,Returns,Segment_Label
CUST00001,51,13,1560,113,56,14.76624160508629,33,828,1,28,17.629488785115612,8,Silver
CUST00002,134,5,3,26,7,5.409043699457566,2,60,0,4,23.024215914172558,9,Iron
CUST00003,55,15,235,57,37,5.082231313888915,11,710,1,17,28.391939093848286,16,Copper
CUST00004,46,11,1293,191,48,18.93648649090481,20,1223,0,17,15.192267441895277,0,Silver
CUST00005,21,30,3602,239,90,26.461395003194724,37,1892,0,57,11.427460460752794,8,Gold
CUST00006,25,42,4515,282,114,21.14771509677525,53,2187,1,63,14.147539013379598,4,Gold
CUST00007,9,67,8835,382,152,32.170692865544765,76,4766,1,65,6.812092578215489,4,Platinum
CUST00008,79,1,98,28,12,8.266338458132406,6,55,0,2,28.22408501575815,3,Iron
CUST00009,63,15,362,52,24,14.784944646717907,19,535,0,19,25.784887130970915,13,Copper
CUST00010,83,18,489,67,29,12.57295572071193,26,407,0,8,20.220452290623793,11,Copper
CUST00011,9,76,7925,379,196,28.3252199872015,66,4608,1,67,9.72095993212311,1,Platinum
CUST00012,131,6,56,29,14,3.3508015414652164,9,212,0,0,33.8747063121678,12,Iron
CUST00013,48,18,442,64,36,11.25019454168104,11,440,0,10,28.73891619155672,7,Copper
CUST00014,11,62,4511,188,81,25.77796977183369,42,2405,1,43,5.15562546258716,8,Gold
CUST00015,16,47,3983,268,95,16.849587079821372,33,1440,0,49,11.786494371828667,7,Gold
CUST00016,16,55,3868,285,114,28.01673066589145,42,1860,0,61,12.839252791418875,7,Gold
CUST00017,44,29,1207,120,47,11.774316522495983,40,1305,0,33,17.95581836542283,4,Silver
CUST00018,35,37,1385,115,64,19.013999412292332,44,1110,0,16,18.280595427328763,2,Silver
CUST00019,41,36,1700,151,44,13.445619079878753,27,713,0,28,12.274908908690623,12,Silver
CUST00020,15,59,3742,164,109,25.344536128726816,40,1103,1,31,11.793166653135536,6,Gold
CUST00021,39,16,372,56,31,11.400487969300563,13,246,1,19,21.342841178502923,12,Copper
CUST00022,27,50,2367,214,95,25.19967822976142,50,2578,1,50,11.67190344642561,6,Gold
CUST00023,28,64,4663,265,110,19.821937169217065,34,1755,0,40,11.445631546318221,7,Gold
CUST00024,40,29,1060,137,37,18.972433251916417,49,576,1,38,16.22515868412716,4,Silver
CUST00025,39,10,1040,178,52,12.829475680373312,24,1488,0,31,16.309704448700582,1,Silver
CUST00026,70,5,350,99,22,9.157342483233872,29,379,0,12,27.907672298811676,2,Copper
CUST00027,15,48,2764,295,115,27.47124932895467,56,2414,1,58,10.060362702274809,3,Gold
CUST00028,38,15,1682,108,49,17.500613241443475,46,512,1,11,16.99027414042095,0,Silver
CUST00029,43,30,1823,197,38,10.117650943669977,43,913,0,20,12.130605510175355,0,Silver
CUST00030,4,62,7886,215,196,34.26914720868088,60,4195,0,86,3.979530562013335,1,Platinum
CUST00031,41,18,193,91,28,14.792618656086425,14,227,0,8,15.728499795889439,0,Copper
CUST00032,25,44,4742,230,85,27.433948367895184,42,2952,0,34,6.640307314593894,3,Gold
CUST00033,14,63,7646,210,130,20.144398940074353,62,3022,1,51,8.20909634070616,3,Platinum
CUST00034,76,5,6,24,10,8.385646540771331,3,79,1,1,41.40385845099499,8,Iron
CUST00035,141,2,43,40,12,3.7853342127538028,12,131,0,4,25.7840838402982,20,Iron
CUST00036,85,12,462,73,11,10.546936856470577,10,222,0,9,18.79868044560376,13,Copper
CUST00037,35,26,1881,159,68,10.596255243872688,20,915,0,29,18.72465523258539,13,Silver
CUST00038,12,62,7455,229,101,20.758766258718712,93,2792,1,55,7.805205758696064,1,Platinum
CUST00039,59,13,193,106,35,13.295224152883748,26,215,0,14,15.120477958134344,1,Copper
CUST00040,23,10,1578,183,43,18.21110527741516,47,1036,0,15,16.527597559761254,7,Silver
CUST00041,15,67,3987,156,89,23.991425881656276,48,2766,1,62,5.021409193454752,5,Gold
CUST00042,29,34,961,199,67,18.080776677006256,40,591,1,15,15.032283453861176,14,Silver
CUST00043,12,52,7858,246,198,23.56796503857162,78,3689,1,51,7.88581765108471,1,Platinum
CUST00044,171,5,42,30,14,2.7473742695669414,14,134,1,3,37.07320941088412,22,Iron
CUST00045,14,68,3908,295,80,23.180442782004626,63,1585,0,53,9.233267270225271,7,Gold
CUST00046,61,12,324,87,21,11.086842206035008,28,440,1,19,27.266935214691284,10,Copper
CUST00047,37,17,802,140,68,17.85202867912825,32,692,0,33,11.935433732395726,12,Silver
CUST00048,21,37,1677,122,44,16.427519139595468,25,1430,0,12,16.0102587748869,13,Silver
CUST00049,57,38,999,158,68,11.035765661030151,24,567,0,22,19.99364932192679,13,Silver
CUST00050,20,58,3185,291,115,19.30728395156443,68,2561,1,68,13.227500147651233,9,Gold
CUST00051,161,5,97,17,6,4.548324119461707,8,223,0,0,20.03066898783344,11,Iron
CUST00052,52,7,208,88,34,8.27250307905817,19,693,0,17,23.722957114156657,12,Copper
CUST00053,68,4,13,46,8,1.1512655183902825,8,103,0,0,23.097764283082476,18,Iron
CUST00054,93,1,46,28,18,5.155933297566511,10,130,0,2,34.61748681036353,19,Iron
CUST00055,38,10,934,106,58,14.146981183051281,24,1105,1,33,10.099597412043034,9,Silver
CUST00056,135,9,12,35,17,3.218301186190626,4,162,0,4,41.3278891024365,14,Iron
CUST00057,10,83,8221,222,158,35.794565236159244,53,2754,0,90,3.180097048142981,3,Platinum
CUST00058,18,53,3590,266,75,16.007963561285607,54,2561,0,38,12.802593309204779,0,Gold
CUST00059,1,54,7056,397,127,24.478124038269613,77,4855,1,76,8.735596022726128,2,Platinum
CUST00060,40,39,965,198,32,14.45458688370934,46,529,0,30,15.739504229932585,7,Silver
CUST00061,34,27,679,128,67,14.27840570627053,36,998,1,32,14.790407256746136,5,Silver
CUST00062,21,40,3519,262,79,19.66681021139471,32,2278,1,52,9.945897780098138,2,Gold
CUST00063,74,11,465,68,39,6.272925330950784,16,555,0,15,25.650440215128434,0,Copper
CUST00064,47,27,1671,139,64,11.903832710609718,25,1481,0,18,15.248167503647412,14,Silver
CUST00065,24,42,3807,181,61,20.151309241960107,67,1609,0,50,7.715447686684391,7,Gold
CUST00066,47,23,1759,147,35,18.23724286136987,20,927,1,18,10.098607283371395,3,Silver
CUST00067,22,66,4985,193,76,19.815322894117,64,1379,1,59,12.76768271350073,2,Gold
CUST00068,66,7,285,106,18,13.597287835022325,29,457,0,12,17.90550439178553,17,Copper
CUST00069,9,50,9657,231,197,28.346958406082827,80,3845,1,97,6.661929602664312,2,Platinum
CUST00070,150,8,36,37,19,4.574865738762075,12,85,1,1,25.183689556473894,3,Iron
CUST00071,43,11,189,57,33,14.02776047764545,24,462,0,10,22.878033003461958,11,Copper
CUST00072,27,44,2100,165,64,25.237395506057233,57,2272,1,56,12.172635253579271,3,Gold
CUST00073,11,50,9913,200,171,25.125863245892152,77,3877,0,90,4.702884767031758,0,Platinum
CUST00074,79,15,424,83,16,13.269490250841109,24,448,0,9,24.00021716220953,19,Copper
CUST00075,44,14,123,75,38,10.648183139601972,19,216,1,6,25.68177084501203,8,Copper
CUST00076,36,14,347,58,31,5.991945301128786,25,784,0,17,16.10325718464419,6,Copper
CUST00077,72,12,362,112,29,10.674858777835963,17,653,0,15,20.29316025756501,7,Copper
CUST00078,6,98,8536,311,185,27.75413326262175,57,4672,1,73,2.4330192798296713,3,Platinum
CUST00079,21,11,1870,113,68,18.78517209064016,43,1279,0,32,17.273972938459515,8,Silver
CUST00080,13,55,2035,280,60,18.955131878932338,34,2682,1,63,12.278341625793717,7,Gold
CUST00081,173,6,90,47,17,7.858644880957532,10,105,0,0,25.86267759915047,14,Iron
CUST00082,44,6,433,114,19,10.090034454826181,19,209,0,6,17.48311192234631,7,Copper
CUST00083,20,10,1082,108,45,18.523653492620436,47,906,1,34,18.565681964898992,12,Silver
CUST00084,8,60,7060,389,190,35.5432239241119,91,3799,0,89,5.796108992282839,3,Platinum
CUST00085,58,25,668,120,51,17.226472020610686,29,1469,1,25,11.540757324730835,13,Silver
