CustomerID,Age,Income,AdSpend,ClickThroughRate,ConversionRate,WebsiteVisits,PagesPerVisit,TimeOnSite,SocialShares,EmailOpens,EmailClicks,PreviousPurchases,LoyaltyPoints,Conversion,Gender,CampaignChannel,CampaignType
8000,56,136912,6497.870068,0.04391851074,0.08803141207,0,2.399016528,7.396802581,19,6,9,4,688,1,1,0,0
8001,69,41760,3898.668606,0.1557250711,0.1827246825,42,2.917137755,5.352548601,5,2,7,2,3459,1,0,1,3
8002,46,88456,1546.429596,0.2774903687,0.07642272008,2,8.223619098,13.79490147,0,11,2,8,2337,1,1,2,0
8003,32,44085,539.5259358,0.1376112536,0.08800418669,47,4.540938973,14.68836262,89,2,2,0,2463,1,1,2,2
8004,60,83964,1678.043573,0.2528511066,0.1099401032,0,2.046847118,13.9933704,6,6,6,8,4345,1,1,2,2
8005,25,42925,9579.388247,0.1537946791,0.1613161265,6,2.125849719,7.752831242,95,5,8,0,3316,1,1,0,0
8006,38,25615,7302.899852,0.0409753864,0.06097682028,42,1.753994645,10.69867161,54,14,3,6,930,1,1,4,0
8007,56,57083,5324.283667,0.05287792856,0.1889459249,48,2.62601478,2.987817382,96,9,3,0,2983,1,1,0,2
8008,36,140788,9421.250951,0.02353596831,0.1125850114,13,5.47284282,14.28742058,73,4,8,5,460,1,1,1,3
8009,40,130764,6229.193333,0.06664127477,0.1697856796,22,1.135664698,4.613311984,14,8,4,8,3789,1,0,0,0
8010,28,88319,7283.887364,0.269148089,0.1098675119,47,2.054180722,3.294720457,94,16,5,6,1987,1,0,2,3
8011,28,29605,2898.253003,0.1985574333,0.1566787072,16,9.164109335,1.372299211,23,18,6,5,2403,1,0,3,0
8012,41,131093,5930.920252,0.2242685111,0.01976994297,13,8.88923234,8.480384141,28,16,5,4,2946,1,0,1,2
8013,53,64608,1520.424719,0.1902818229,0.1618503715,8,8.497723392,14.25272496,81,8,1,2,2818,1,0,3,0
8014,57,148788,4104.383137,0.1220963947,0.1095522917,20,7.356534606,2.466029635,70,16,8,1,3247,1,0,1,0
8015,41,39192,429.0792174,0.07288972851,0.09538896176,44,6.953694912,2.252039383,33,0,1,1,4474,0,1,1,0
8016,20,23331,2244.618067,0.2784282294,0.03120583666,1,3.4796423,4.452665667,77,7,8,8,3252,1,1,2,2
8017,39,71330,841.1994313,0.1593006367,0.1508968824,31,4.014950793,10.14821145,83,18,5,2,3463,1,1,0,2
8018,19,117392,3939.010313,0.1495189656,0.03492109398,7,3.122219616,8.443295842,92,8,4,6,2222,1,1,2,2
8019,41,69949,8446.04813,0.2988701857,0.04654038443,35,9.822822688,1.895000924,36,7,7,3,3644,1,1,2,1
8020,61,88382,3841.547653,0.1213396966,0.03402041858,25,6.708743068,6.913353501,41,5,1,6,1651,1,1,2,1
8021,47,119233,8333.232297,0.2576963413,0.01124936547,36,9.691906324,1.470518153,63,14,0,5,2586,1,1,3,1
8022,55,57586,6599.333295,0.2600797775,0.1357636182,14,3.446078038,12.85260044,94,14,6,9,1989,1,0,1,1
8023,19,72243,5144.341522,0.077474361,0.06146036851,33,6.590882005,2.053120799,18,5,5,3,1417,1,1,4,2
8024,38,120566,2445.227763,0.03750351078,0.03839938725,20,7.830556785,7.333825521,22,14,3,2,1563,1,1,0,0
8025,50,144213,9229.345319,0.2929298336,0.07079477168,22,1.852651784,7.901721933,70,17,3,3,2227,1,1,2,2
8026,29,78618,636.5880075,0.1335100906,0.1048260914,8,7.002648583,8.186830948,5,5,5,1,129,0,0,1,1
8027,39,98311,6920.238875,0.01064389338,0.105648379,39,2.521653108,9.332746262,98,17,6,1,2688,1,0,0,3
8028,61,27549,6250.274939,0.1547151718,0.07976724158,25,3.95274201,10.6729451,92,17,1,3,68,1,1,4,3
8029,42,138168,4466.31107,0.1895971055,0.1040371315,42,7.445377035,0.5631910962,54,18,6,2,3079,1,1,4,2
8030,66,72494,2479.177457,0.2350655918,0.09119487698,21,4.960582618,0.9482583272,76,19,9,4,1011,1,0,2,0
8031,44,107973,4363.889775,0.2834532143,0.1663063969,12,9.29045668,9.367495241,38,12,6,0,911,1,0,4,1
8032,59,43958,8740.449983,0.2753994824,0.01562665382,24,3.170819821,3.141059633,24,10,5,6,4683,1,1,4,0
8033,45,109779,8383.984492,0.2826393878,0.1749257253,6,2.384030882,12.56175415,97,14,2,3,467,1,1,0,0
8034,33,127713,9419.674375,0.019316293,0.05634389858,26,4.034547735,9.59891891,82,5,7,5,653,1,0,0,0
8035,32,127960,3147.152746,0.2164144988,0.1471386209,14,8.667309012,14.71581057,3,10,0,1,2429,1,1,2,1
8036,64,114520,3932.331168,0.07549880921,0.0869575271,11,8.626820998,11.05606221,87,3,7,3,1066,1,0,1,2
8037,68,122478,285.3889113,0.06439027929,0.06592326326,44,4.32375022,1.81535898,32,14,6,4,257,1,0,2,1
8038,61,149203,9435.204948,0.2420923849,0.1269160009,32,8.288580862,2.979151167,65,15,1,5,4709,1,1,3,1
8039,69,141835,3360.961909,0.1309676099,0.1560880396,20,1.700094275,1.17495901,1,13,0,0,2885,1,0,4,2
8040,20,57538,4101.221833,0.275814022,0.09548792609,24,1.068414398,11.24705005,13,4,7,3,1476,1,1,1,2
8041,54,25833,9087.265653,0.02230617633,0.09864523018,39,8.783242758,2.338937632,49,14,3,1,3243,1,1,0,2
8042,68,142893,5313.324459,0.2426324406,0.02118273211,46,8.866645176,10.12462866,10,9,9,9,3513,1,1,3,3
8043,24,43386,5705.127963,0.04968197927,0.1855592363,21,2.29058995,8.553267292,33,5,9,0,913,0,0,3,3
8044,38,136981,1844.705098,0.06120738845,0.1709103723,13,3.679429011,9.682815789,37,15,8,8,2136,1,0,4,2
8045,26,120349,5036.734206,0.1484319975,0.08561862963,7,8.655366185,7.875713522,91,15,3,0,284,1,0,0,0
8046,56,119341,9190.265149,0.1247210829,0.1553406165,23,1.753902545,0.6889163081,38,18,7,1,4275,1,1,1,3
8047,35,91778,5631.309072,0.1509899688,0.06952304338,2,8.767835077,4.171662098,21,2,7,8,3388,1,1,0,1
8048,21,114240,2625.65201,0.2826076914,0.1487801407,11,6.172143152,13.33223663,41,19,0,7,883,1,1,4,1
8049,42,127955,408.6905549,0.2006427913,0.1081714261,46,6.915494791,13.97439424,96,17,4,9,3404,1,1,3,3
