user_id,CustomerID,segment_id,segment_name,segment_method,segment_confidence
8000,8000,2,Low Engagement,hybrid,0.75
8001,8001,4,Loyal Customer,hybrid,0.7
8002,8002,4,Loyal Customer,hybrid,0.6
8003,8003,3,Price Sensitive,hybrid,0.6
8004,8004,3,Price Sensitive,hybrid,0.7
8005,8005,2,Low Engagement,hybrid,0.8
8006,8006,3,Price Sensitive,hybrid,0.6
8007,8007,3,Price Sensitive,hybrid,0.6
8008,8008,2,Low Engagement,hybrid,0.8
8009,8009,4,Loyal Customer,hybrid,0.95
8010,8010,2,Low Engagement,hybrid,0.8
8011,8011,2,Low Engagement,hybrid,0.75
8012,8012,2,Low Engagement,hybrid,0.6
8013,8013,2,Low Engagement,hybrid,0.6
8014,8014,2,Low Engagement,hybrid,0.6
8015,8015,3,Price Sensitive,hybrid,0.6
8016,8016,4,Loyal Customer,hybrid,0.75
8017,8017,2,Low Engagement,hybrid,0.8
8018,8018,4,Loyal Customer,hybrid,0.6
8019,8019,1,High Intent,hybrid,0.8
8020,8020,3,Price Sensitive,hybrid,0.8
8021,8021,1,High Intent,hybrid,0.7
8022,8022,2,Low Engagement,hybrid,0.8
8023,8023,2,Low Engagement,hybrid,0.75
8024,8024,2,Low Engagement,hybrid,0.75
8025,8025,2,Low Engagement,hybrid,0.8
8026,8026,2,Low Engagement,hybrid,0.75
8027,8027,1,High Intent,hybrid,0.6
8028,8028,3,Price Sensitive,hybrid,0.75
8029,8029,1,High Intent,hybrid,0.8
8030,8030,2,Low Engagement,hybrid,0.8
8031,8031,3,Price Sensitive,hybrid,0.7
8032,8032,4,Loyal Customer,hybrid,0.95
8033,8033,2,Low Engagement,hybrid,0.8
8034,8034,2,Low Engagement,hybrid,0.8
8035,8035,2,Low Engagement,hybrid,0.75
8036,8036,2,Low Engagement,hybrid,0.6
8037,8037,1,High Intent,hybrid,0.6
8038,8038,3,Price Sensitive,hybrid,0.6
8039,8039,2,Low Engagement,hybrid,0.6
8040,8040,2,Low Engagement,hybrid,0.75
8041,8041,3,Price Sensitive,hybrid,0.6
8042,8042,4,Loyal Customer,hybrid,0.95
8043,8043,2,Low Engagement,hybrid,0.95
8044,8044,4,Loyal Customer,hybrid,0.75
8045,8045,2,Low Engagement,hybrid,0.6
8046,8046,2,Low Engagement,hybrid,0.8
8047,8047,4,Loyal Customer,hybrid,0.75
8048,8048,2,Low Engagement,hybrid,0.6
8049,8049,4,Loyal Customer,hybrid,0.75
8050,8050,4,Loyal Customer,hybrid,0.75
8051,8051,4,Loyal Customer,hybrid,0.75
8052,8052,2,Low Engagement,hybrid,0.8
8053,8053,2,Low Engagement,hybrid,0.8
8054,8054,4,Loyal Customer,hybrid,0.8
8055,8055,2,Low Engagement,hybrid,0.95
8056,8056,4,Loyal Customer,hybrid,0.8
8057,8057,2,Low Engagement,hybrid,0.7
8058,8058,5,New Cold User,hybrid,0.65
8059,8059,2,Low Engagement,hybrid,0.8
8060,8060,2,Low Engagement,hybrid,0.95
8061,8061,3,Price Sensitive,hybrid,0.6
8062,8062,2,Low Engagement,hybrid,0.6
8063,8063,3,Price Sensitive,hybrid,0.6
8064,8064,3,Price Sensitive,hybrid,0.7
8065,8065,3,Price Sensitive,hybrid,0.6
8066,8066,2,Low Engagement,hybrid,0.6
8067,8067,4,Loyal Customer,hybrid,0.6
8068,8068,4,Loyal Customer,hybrid,0.7
8069,8069,2,Low Engagement,hybrid,0.8
8070,8070,2,Low Engagement,hybrid,0.8
8071,8071,2,Low Engagement,hybrid,0.75
8072,8072,4,Loyal Customer,hybrid,0.7
8073,8073,3,Price Sensitive,hybrid,0.75
8074,8074,4,Loyal Customer,hybrid,0.8
8075,8075,2,Low Engagement,hybrid,0.8
8076,8076,2,Low Engagement,hybrid,0.75
8077,8077,2,Low Engagement,hybrid,0.8
8078,8078,4,Loyal Customer,hybrid,0.75
8079,8079,2,Low Engagement,hybrid,0.6
8080,8080,2,Low Engagement,hybrid,0.8
8081,8081,2,Low Engagement,hybrid,0.6
8082,8082,4,Loyal Customer,hybrid,0.7
8083,8083,4,Loyal Customer,hybrid,0.7
8084,8084,2,Low Engagement,hybrid,0.75
8085,8085,3,Price Sensitive,hybrid,0.75
8086,8086,2,Low Engagement,hybrid,0.95
8087,8087,4,Loyal Customer,hybrid,0.7
8088,8088,2,Low Engagement,hybrid,0.6
8089,8089,3,Price Sensitive,hybrid,0.6
8090,8090,2,Low Engagement,hybrid,0.6
8091,8091,2,Low Engagement,hybrid,0.75
8092,8092,4,Loyal Customer,hybrid,0.8
8093,8093,4,Loyal Customer,hybrid,0.6
8094,8094,1,High Intent,hybrid,0.8
8095,8095,2,Low Engagement,hybrid,0.6
8096,8096,2,Low Engagement,hybrid,0.6
8097,8097,2,Low Engagement,hybrid,0.75
8098,8098,2,Low Engagement,hybrid,0.6
8099,8099,2,Low Engagement,hybrid,0.8
8100,8100,2,Low Engagement,hybrid,0.8
8101,8101,4,Loyal Customer,hybrid,0.8
8102,8102,3,Price Sensitive,hybrid,0.75
8103,8103,2,Low Engagement,hybrid,0.8
8104,8104,4,Loyal Customer,hybrid,0.7
8105,8105,1,High Intent,hybrid,0.6
8106,8106,4,Loyal Customer,hybrid,0.95
8107,8107,4,Loyal Customer,hybrid,0.75
8108,8108,4,Loyal Customer,hybrid,0.6
8109,8109,4,Loyal Customer,hybrid,0.6
8110,8110,2,Low Engagement,hybrid,0.6
8111,8111,2,Low Engagement,hybrid,0.6
8112,8112,3,Price Sensitive,hybrid,0.6
8113,8113,3,Price Sensitive,hybrid,0.6
8114,8114,2,Low Engagement,hybrid,0.95
8115,8115,2,Low Engagement,hybrid,0.75
8116,8116,2,Low Engagement,hybrid,0.7
8117,8117,4,Loyal Customer,hybrid,0.75
8118,8118,4,Loyal Customer,hybrid,0.8
8119,8119,2,Low Engagement,hybrid,0.75
8120,8120,3,Price Sensitive,hybrid,0.75
8121,8121,4,Loyal Customer,hybrid,0.75
8122,8122,2,Low Engagement,hybrid,0.75
8123,8123,4,Loyal Customer,hybrid,0.75
8124,8124,2,Low Engagement,hybrid,0.8
8125,8125,2,Low Engagement,hybrid,0.6
8126,8126,4,Loyal Customer,hybrid,0.7
8127,8127,4,Loyal Customer,hybrid,0.75
8128,8128,2,Low Engagement,hybrid,0.95
8129,8129,4,Loyal Customer,hybrid,0.7
8130,8130,2,Low Engagement,hybrid,0.6
8131,8131,1,High Intent,hybrid,0.8
8132,8132,5,New Cold User,hybrid,0.65
8133,8133,4,Loyal Customer,hybrid,0.7
8134,8134,4,Loyal Customer,hybrid,0.6
8135,8135,3,Price Sensitive,hybrid,0.6
8136,8136,2,Low Engagement,hybrid,0.6
8137,8137,4,Loyal Customer,hybrid,0.6
8138,8138,2,Low Engagement,hybrid,0.6
8139,8139,4,Loyal Customer,hybrid,0.95
8140,8140,4,Loyal Customer,hybrid,0.75
8141,8141,3,Price Sensitive,hybrid,0.6
8142,8142,3,Price Sensitive,hybrid,0.6
8143,8143,2,Low Engagement,hybrid,0.75
8144,8144,3,Price Sensitive,hybrid,0.6
8145,8145,4,Loyal Customer,hybrid,0.6
8146,8146,4,Loyal Customer,hybrid,0.75
8147,8147,4,Loyal Customer,hybrid,0.6
8148,8148,4,Loyal Customer,hybrid,0.8
8149,8149,1,High Intent,hybrid,0.6
8150,8150,3,Price Sensitive,hybrid,0.6
8151,8151,2,Low Engagement,hybrid,0.8
8152,8152,2,Low Engagement,hybrid,0.7
8153,8153,4,Loyal Customer,hybrid,0.6
8154,8154,2,Low Engagement,hybrid,0.75
8155,8155,3,Price Sensitive,hybrid,0.75
8156,8156,2,Low Engagement,hybrid,0.8
8157,8157,4,Loyal Customer,hybrid,0.75
8158,8158,4,Loyal Customer,hybrid,0.75
8159,8159,2,Low Engagement,hybrid,0.6
8160,8160,4,Loyal Customer,hybrid,0.75
8161,8161,3,Price Sensitive,hybrid,0.75
8162,8162,2,Low Engagement,hybrid,0.7
8163,8163,4,Loyal Customer,hybrid,0.6
8164,8164,4,Loyal Customer,hybrid,0.6
8165,8165,2,Low Engagement,hybrid,0.75
8166,8166,2,Low Engagement,hybrid,0.8
8167,8167,4,Loyal Customer,hybrid,0.7
8168,8168,1,High Intent,hybrid,0.8
8169,8169,2,Low Engagement,hybrid,0.75
8170,8170,4,Loyal Customer,hybrid,0.75
8171,8171,2,Low Engagement,hybrid,0.75
8172,8172,2,Low Engagement,hybrid,0.6
8173,8173,3,Price Sensitive,hybrid,0.6
8174,8174,4,Loyal Customer,hybrid,0.6
8175,8175,3,Price Sensitive,hybrid,0.6
8176,8176,1,High Intent,hybrid,0.6
8177,8177,4,Loyal Customer,hybrid,0.8
8178,8178,2,Low Engagement,hybrid,0.8
8179,8179,3,Price Sensitive,hybrid,0.75
8180,8180,2,Low Engagement,hybrid,0.75
8181,8181,3,Price Sensitive,hybrid,0.8
8182,8182,3,Price Sensitive,hybrid,0.75
8183,8183,2,Low Engagement,hybrid,0.75
