user_id,CustomerID,segment_id,segment_name,segment_method,segment_confidence
8000,8000,2,Low Engagement,hybrid,0.6
8001,8001,1,High Intent,hybrid,0.75
8002,8002,4,Loyal Customer,hybrid,0.95
8003,8003,3,Price Sensitive,hybrid,0.95
8004,8004,4,Loyal Customer,hybrid,0.8
8005,8005,1,High Intent,hybrid,0.7
8006,8006,3,Price Sensitive,hybrid,0.6
8007,8007,1,High Intent,hybrid,0.7
8008,8008,2,Low Engagement,hybrid,0.75
8009,8009,4,Loyal Customer,hybrid,0.6
8010,8010,1,High Intent,hybrid,0.7
8011,8011,2,Low Engagement,hybrid,0.6
8012,8012,4,Loyal Customer,hybrid,0.7
8013,8013,2,Low Engagement,hybrid,0.75
8014,8014,2,Low Engagement,hybrid,0.6
8015,8015,3,Price Sensitive,hybrid,0.75
8016,8016,1,High Intent,hybrid,0.7
8017,8017,1,High Intent,hybrid,0.7
8018,8018,4,Loyal Customer,hybrid,0.6
8019,8019,1,High Intent,hybrid,0.75
8020,8020,3,Price Sensitive,hybrid,0.75
8021,8021,3,Price Sensitive,hybrid,0.8
8022,8022,2,Low Engagement,hybrid,0.75
8023,8023,2,Low Engagement,hybrid,0.8
8024,8024,2,Low Engagement,hybrid,0.6
8025,8025,1,High Intent,hybrid,0.7
8026,8026,2,Low Engagement,hybrid,0.6
8027,8027,1,High Intent,hybrid,0.95
8028,8028,3,Price Sensitive,hybrid,0.6
8029,8029,1,High Intent,hybrid,0.75
8030,8030,1,High Intent,hybrid,0.7
8031,8031,2,Low Engagement,hybrid,0.75
8032,8032,4,Loyal Customer,hybrid,0.6
8033,8033,2,Low Engagement,hybrid,0.75
8034,8034,2,Low Engagement,hybrid,0.75
8035,8035,2,Low Engagement,hybrid,0.6
8036,8036,2,Low Engagement,hybrid,0.75
8037,8037,1,High Intent,hybrid,0.6
8038,8038,3,Price Sensitive,hybrid,0.8
8039,8039,2,Low Engagement,hybrid,0.8
8040,8040,2,Low Engagement,hybrid,0.8
8041,8041,3,Price Sensitive,hybrid,0.8
8042,8042,4,Loyal Customer,hybrid,0.6
8043,8043,2,Low Engagement,hybrid,0.6
8044,8044,4,Loyal Customer,hybrid,0.8
8045,8045,2,Low Engagement,hybrid,0.75
8046,8046,1,High Intent,hybrid,0.7
8047,8047,4,Loyal Customer,hybrid,0.8
8048,8048,4,Loyal Customer,hybrid,0.7
8049,8049,4,Loyal Customer,hybrid,0.6
8050,8050,4,Loyal Customer,hybrid,0.6
8051,8051,4,Loyal Customer,hybrid,0.8
8052,8052,2,Low Engagement,hybrid,0.75
8053,8053,2,Low Engagement,hybrid,0.75
8054,8054,4,Loyal Customer,hybrid,0.6
8055,8055,2,Low Engagement,hybrid,0.6
8056,8056,4,Loyal Customer,hybrid,0.6
8057,8057,3,Price Sensitive,hybrid,0.75
8058,8058,5,New Cold User,hybrid,0.65
8059,8059,1,High Intent,hybrid,0.7
8060,8060,2,Low Engagement,hybrid,0.6
8061,8061,3,Price Sensitive,hybrid,0.8
8062,8062,2,Low Engagement,hybrid,0.75
8063,8063,3,Price Sensitive,hybrid,0.8
8064,8064,2,Low Engagement,hybrid,0.75
8065,8065,3,Price Sensitive,hybrid,0.75
8066,8066,2,Low Engagement,hybrid,0.6
8067,8067,4,Loyal Customer,hybrid,0.8
8068,8068,1,High Intent,hybrid,0.75
8069,8069,2,Low Engagement,hybrid,0.75
8070,8070,1,High Intent,hybrid,0.7
8071,8071,2,Low Engagement,hybrid,0.8
8072,8072,2,Low Engagement,hybrid,0.8
8073,8073,3,Price Sensitive,hybrid,0.6
8074,8074,4,Loyal Customer,hybrid,0.75
8075,8075,2,Low Engagement,hybrid,0.6
8076,8076,2,Low Engagement,hybrid,0.6
8077,8077,1,High Intent,hybrid,0.7
8078,8078,1,High Intent,hybrid,0.7
8079,8079,2,Low Engagement,hybrid,0.6
8080,8080,2,Low Engagement,hybrid,0.6
8081,8081,2,Low Engagement,hybrid,0.6
8082,8082,2,Low Engagement,hybrid,0.8
8083,8083,3,Price Sensitive,hybrid,0.6
8084,8084,2,Low Engagement,hybrid,0.6
8085,8085,3,Price Sensitive,hybrid,0.8
8086,8086,2,Low Engagement,hybrid,0.6
8087,8087,1,High Intent,hybrid,0.75
8088,8088,4,Loyal Customer,hybrid,0.7
8089,8089,3,Price Sensitive,hybrid,0.95
8090,8090,2,Low Engagement,hybrid,0.6
8091,8091,2,Low Engagement,hybrid,0.6
8092,8092,2,Low Engagement,hybrid,0.7
8093,8093,3,Price Sensitive,hybrid,0.7
8094,8094,1,High Intent,hybrid,0.75
8095,8095,2,Low Engagement,hybrid,0.6
8096,8096,2,Low Engagement,hybrid,0.6
8097,8097,2,Low Engagement,hybrid,0.6
8098,8098,4,Loyal Customer,hybrid,0.7
8099,8099,1,High Intent,hybrid,0.7
8100,8100,2,Low Engagement,hybrid,0.75
8101,8101,4,Loyal Customer,hybrid,0.6
8102,8102,3,Price Sensitive,hybrid,0.8
8103,8103,2,Low Engagement,hybrid,0.75
8104,8104,1,High Intent,hybrid,0.75
8105,8105,1,High Intent,hybrid,0.6
8106,8106,4,Loyal Customer,hybrid,0.6
8107,8107,4,Loyal Customer,hybrid,0.6
8108,8108,4,Loyal Customer,hybrid,0.95
8109,8109,4,Loyal Customer,hybrid,0.8
8110,8110,2,Low Engagement,hybrid,0.6
8111,8111,2,Low Engagement,hybrid,0.6
8112,8112,3,Price Sensitive,hybrid,0.6
8113,8113,1,High Intent,hybrid,0.7
8114,8114,2,Low Engagement,hybrid,0.6
8115,8115,2,Low Engagement,hybrid,0.6
8116,8116,1,High Intent,hybrid,0.8
8117,8117,1,High Intent,hybrid,0.7
8118,8118,2,Low Engagement,hybrid,0.7
8119,8119,2,Low Engagement,hybrid,0.6
8120,8120,3,Price Sensitive,hybrid,0.8
8121,8121,4,Loyal Customer,hybrid,0.6
8122,8122,2,Low Engagement,hybrid,0.8
8123,8123,1,High Intent,hybrid,0.7
8124,8124,1,High Intent,hybrid,0.7
8125,8125,2,Low Engagement,hybrid,0.6
8126,8126,1,High Intent,hybrid,0.75
8127,8127,4,Loyal Customer,hybrid,0.8
8128,8128,2,Low Engagement,hybrid,0.6
8129,8129,1,High Intent,hybrid,0.75
8130,8130,4,Loyal Customer,hybrid,0.7
8131,8131,3,Price Sensitive,hybrid,0.7
8132,8132,5,New Cold User,hybrid,0.65
8133,8133,2,Low Engagement,hybrid,0.8
8134,8134,4,Loyal Customer,hybrid,0.75
8135,8135,3,Price Sensitive,hybrid,0.6
8136,8136,2,Low Engagement,hybrid,0.75
8137,8137,4,Loyal Customer,hybrid,0.6
8138,8138,4,Loyal Customer,hybrid,0.7
8139,8139,4,Loyal Customer,hybrid,0.6
8140,8140,4,Loyal Customer,hybrid,0.6
8141,8141,1,High Intent,hybrid,0.7
8142,8142,3,Price Sensitive,hybrid,0.6
8143,8143,2,Low Engagement,hybrid,0.6
8144,8144,3,Price Sensitive,hybrid,0.6
8145,8145,3,Price Sensitive,hybrid,0.7
8146,8146,4,Loyal Customer,hybrid,0.8
8147,8147,3,Price Sensitive,hybrid,0.7
8148,8148,4,Loyal Customer,hybrid,0.6
8149,8149,1,High Intent,hybrid,0.95
8150,8150,3,Price Sensitive,hybrid,0.95
8151,8151,1,High Intent,hybrid,0.7
8152,8152,1,High Intent,hybrid,0.8
8153,8153,4,Loyal Customer,hybrid,0.6
8154,8154,2,Low Engagement,hybrid,0.6
8155,8155,3,Price Sensitive,hybrid,0.8
8156,8156,1,High Intent,hybrid,0.7
8157,8157,4,Loyal Customer,hybrid,0.6
8158,8158,4,Loyal Customer,hybrid,0.8
8159,8159,2,Low Engagement,hybrid,0.6
8160,8160,4,Loyal Customer,hybrid,0.6
8161,8161,3,Price Sensitive,hybrid,0.6
8162,8162,4,Loyal Customer,hybrid,0.6
8163,8163,4,Loyal Customer,hybrid,0.95
8164,8164,4,Loyal Customer,hybrid,0.6
8165,8165,2,Low Engagement,hybrid,0.8
8166,8166,1,High Intent,hybrid,0.7
8167,8167,1,High Intent,hybrid,0.75
8168,8168,1,High Intent,hybrid,0.75
8169,8169,3,Price Sensitive,hybrid,0.7
8170,8170,4,Loyal Customer,hybrid,0.6
8171,8171,3,Price Sensitive,hybrid,0.7
8172,8172,2,Low Engagement,hybrid,0.75
8173,8173,3,Price Sensitive,hybrid,0.6
8174,8174,4,Loyal Customer,hybrid,0.95
8175,8175,1,High Intent,hybrid,0.7
8176,8176,1,High Intent,hybrid,0.6
8177,8177,2,Low Engagement,hybrid,0.7
8178,8178,1,High Intent,hybrid,0.7
8179,8179,3,Price Sensitive,hybrid,0.8
8180,8180,3,Price Sensitive,hybrid,0.7
8181,8181,3,Price Sensitive,hybrid,0.6
8182,8182,2,Low Engagement,hybrid,0.7
8183,8183,2,Low Engagement,hybrid,0.6
8184,8184,3,Price Sensitive,hybrid,0.7
8185,8185,4,Loyal Customer,hybrid,0.8
8186,8186,2,Low Engagement,hybrid,0.7
8187,8187,2,Low Engagement,hybrid,0.75
8188,8188,2,Low Engagement,hybrid,0.75
8189,8189,2,Low Engagement,hybrid,0.75
8190,8190,2,Low Engagement,hybrid,0.75
8191,8191,2,Low Engagement,hybrid,0.75
8192,8192,2,Low Engagement,hybrid,0.6
8193,8193,1,High Intent,hybrid,0.95
8194,8194,2,Low Engagement,hybrid,0.8
8195,8195,3,Price Sensitive,hybrid,0.7
8196,8196,3,Price Sensitive,hybrid,0.7
8197,8197,1,High Intent,hybrid,0.7
8198,8198,2,Low Engagement,hybrid,0.6
8199,8199,3,Price Sensitive,hybrid,0.8
8200,8200,4,Loyal Customer,hybrid,0.6
8201,8201,3,Price Sensitive,hybrid,0.8
8202,8202,4,Loyal Customer,hybrid,0.6
8203,8203,3,Price Sensitive,hybrid,0.75
8204,8204,3,Price Sensitive,hybrid,0.8
8205,8205,2,Low Engagement,hybrid,0.6
8206,8206,2,Low Engagement,hybrid,0.6
8207,8207,4,Loyal Customer,hybrid,0.6
8208,8208,2,Low Engagement,hybrid,0.6
8209,8209,3,Price Sensitive,hybrid,0.8
8210,8210,1,High Intent,hybrid,0.75
8211,8211,4,Loyal Customer,hybrid,0.6
8212,8212,3,Price Sensitive,hybrid,0.6
8213,8213,2,Low Engagement,hybrid,0.6
8214,8214,4,Loyal Customer,hybrid,0.6
8215,8215,4,Loyal Customer,hybrid,0.6
8216,8216,3,Price Sensitive,hybrid,0.6
8217,8217,4,Loyal Customer,hybrid,0.6
8218,8218,3,Price Sensitive,hybrid,0.75
8219,8219,3,Price Sensitive,hybrid,0.6
8220,8220,1,High Intent,hybrid,0.95
8221,8221,2,Low Engagement,hybrid,0.75
8222,8222,2,Low Engagement,hybrid,0.6
8223,8223,2,Low Engagement,hybrid,0.6
8224,8224,3,Price Sensitive,hybrid,0.6
8225,8225,4,Loyal Customer,hybrid,0.6
8226,8226,4,Loyal Customer,hybrid,0.8
8227,8227,2,Low Engagement,hybrid,0.75
8228,8228,3,Price Sensitive,hybrid,0.6
8229,8229,3,Price Sensitive,hybrid,0.6
8230,8230,2,Low Engagement,hybrid,0.6
8231,8231,4,Loyal Customer,hybrid,0.95
8232,8232,4,Loyal Customer,hybrid,0.8
8233,8233,4,Loyal Customer,hybrid,0.6
8234,8234,1,High Intent,hybrid,0.75
8235,8235,1,High Intent,hybrid,0.6
8236,8236,2,Low Engagement,hybrid,0.6
8237,8237,2,Low Engagement,hybrid,0.75
8238,8238,3,Price Sensitive,hybrid,0.7
8239,8239,2,Low Engagement,hybrid,0.6
8240,8240,4,Loyal Customer,hybrid,0.75
8241,8241,4,Loyal Customer,hybrid,0.6
8242,8242,1,High Intent,hybrid,0.7
8243,8243,3,Price Sensitive,hybrid,0.6
8244,8244,3,Price Sensitive,hybrid,0.7
8245,8245,2,Low Engagement,hybrid,0.6
8246,8246,1,High Intent,hybrid,0.75
8247,8247,4,Loyal Customer,hybrid,0.6
8248,8248,3,Price Sensitive,hybrid,0.6
8249,8249,2,Low Engagement,hybrid,0.6
8250,8250,2,Low Engagement,hybrid,0.75
8251,8251,2,Low Engagement,hybrid,0.6
8252,8252,4,Loyal Customer,hybrid,0.6
8253,8253,2,Low Engagement,hybrid,0.6
8254,8254,4,Loyal Customer,hybrid,0.6
8255,8255,3,Price Sensitive,hybrid,0.6
8256,8256,2,Low Engagement,hybrid,0.6
8257,8257,1,High Intent,hybrid,0.7
8258,8258,3,Price Sensitive,hybrid,0.75
8259,8259,1,High Intent,hybrid,0.6
8260,8260,4,Loyal Customer,hybrid,0.8
8261,8261,4,Loyal Customer,hybrid,0.95
8262,8262,2,Low Engagement,hybrid,0.6
8263,8263,4,Loyal Customer,hybrid,0.95
8264,8264,4,Loyal Customer,hybrid,0.7
8265,8265,1,High Intent,hybrid,0.7
8266,8266,2,Low Engagement,hybrid,0.6
8267,8267,3,Price Sensitive,hybrid,0.95
8268,8268,3,Price Sensitive,hybrid,0.7
8269,8269,2,Low Engagement,hybrid,0.75
8270,8270,2,Low Engagement,hybrid,0.6
8271,8271,2,Low Engagement,hybrid,0.6
8272,8272,4,Loyal Customer,hybrid,0.8
8273,8273,1,High Intent,hybrid,0.75
8274,8274,4,Loyal Customer,hybrid,0.8
8275,8275,3,Price Sensitive,hybrid,0.8
8276,8276,1,High Intent,hybrid,0.75
8277,8277,4,Loyal Customer,hybrid,0.6
8278,8278,4,Loyal Customer,hybrid,0.7
8279,8279,2,Low Engagement,hybrid,0.75
8280,8280,2,Low Engagement,hybrid,0.8
8281,8281,1,High Intent,hybrid,0.75
8282,8282,4,Loyal Customer,hybrid,0.95
8283,8283,2,Low Engagement,hybrid,0.75
8284,8284,2,Low Engagement,hybrid,0.6
8285,8285,4,Loyal Customer,hybrid,0.6
8286,8286,4,Loyal Customer,hybrid,0.6
8287,8287,1,High Intent,hybrid,0.7
8288,8288,1,High Intent,hybrid,0.75
8289,8289,1,High Intent,hybrid,0.7
8290,8290,1,High Intent,hybrid,0.6
8291,8291,4,Loyal Customer,hybrid,0.8
8292,8292,2,Low Engagement,hybrid,0.6
8293,8293,4,Loyal Customer,hybrid,0.8
8294,8294,2,Low Engagement,hybrid,0.6
8295,8295,1,High Intent,hybrid,0.7
8296,8296,1,High Intent,hybrid,0.7
8297,8297,4,Loyal Customer,hybrid,0.6
8298,8298,4,Loyal Customer,hybrid,0.6
8299,8299,2,Low Engagement,hybrid,0.75
8300,8300,4,Loyal Customer,hybrid,0.75
8301,8301,3,Price Sensitive,hybrid,0.95
8302,8302,3,Price Sensitive,hybrid,0.6
8303,8303,5,New Cold User,hybrid,0.65
8304,8304,2,Low Engagement,hybrid,0.75
8305,8305,2,Low Engagement,hybrid,0.6
8306,8306,2,Low Engagement,hybrid,0.75
8307,8307,4,Loyal Customer,hybrid,0.75
8308,8308,4,Loyal Customer,hybrid,0.6
8309,8309,2,Low Engagement,hybrid,0.6
8310,8310,4,Loyal Customer,hybrid,0.6
8311,8311,2,Low Engagement,hybrid,0.6
8312,8312,1,High Intent,hybrid,0.6
8313,8313,1,High Intent,hybrid,0.6
8314,8314,2,Low Engagement,hybrid,0.6
8315,8315,4,Loyal Customer,hybrid,0.6
8316,8316,1,High Intent,hybrid,0.7
8317,8317,3,Price Sensitive,hybrid,0.7
8318,8318,1,High Intent,hybrid,0.95
8319,8319,3,Price Sensitive,hybrid,0.75
8320,8320,1,High Intent,hybrid,0.7
8321,8321,3,Price Sensitive,hybrid,0.8
8322,8322,4,Loyal Customer,hybrid,0.8
8323,8323,3,Price Sensitive,hybrid,0.8
8324,8324,4,Loyal Customer,hybrid,0.6
8325,8325,2,Low Engagement,hybrid,0.6
