user_id,segment,strategy,n_sent,n_opens,n_clicks,journey_length,avg_time_between_events_hours,recency_days,dominant_channel,first_channel,last_channel,converted,dropped_off
U00000,loyal_customer,trigger,4,1,0,5,74.0414,1.3413,social,social,ad,0,1
U00001,loyal_customer,hybrid,6,2,0,8,37.2508,1.4102,social,email,social,0,1
U00002,high_intent,trigger,8,7,4,22,12.473,3.983,social,social,social,1,0
U00003,low_engagement,fixed,2,0,0,2,117.1742,7.9853,social,social,social,0,0
U00004,low_engagement,fixed,2,0,0,2,17.9145,1.5334,social,social,social,0,0
U00005,low_engagement,fixed,1,0,0,1,0.0,13.6505,social,social,social,0,0
U00006,new_cold_customer,fixed,5,4,1,10,25.3807,3.0074,social,social,ad,0,1
U00007,low_engagement,hybrid,3,1,0,4,45.6934,8.1301,social,social,ad,0,1
U00008,high_intent,fixed,4,4,1,9,23.6739,5.5886,social,social,social,0,1
U00009,new_cold_customer,hybrid,4,2,1,7,53.058,1.1067,social,social,social,0,1
U00010,new_cold_customer,hybrid,5,2,0,7,39.6679,3.3644,social,social,social,0,1
U00011,low_engagement,fixed,1,0,0,1,0.0,3.7422,social,social,social,0,0
U00012,new_cold_customer,fixed,4,1,1,6,24.3207,5.7199,social,social,email,0,1
U00013,high_intent,trigger,8,6,3,19,15.1497,3.388,social,social,ad,1,0
U00014,loyal_customer,trigger,6,0,0,6,55.8788,2.7499,email,email,social,0,0
U00015,new_cold_customer,trigger,3,3,0,6,26.5287,2.994,social,ad,social,0,1
U00016,loyal_customer,fixed,5,1,0,6,39.5127,2.1711,social,social,offer,0,1
U00017,new_cold_customer,hybrid,5,0,0,5,29.597,1.7556,social,social,social,0,0
U00018,new_cold_customer,fixed,4,1,1,6,23.9039,4.1595,social,social,social,0,1
U00019,low_engagement,hybrid,1,0,0,1,0.0,4.0757,social,social,social,0,0
U00020,loyal_customer,hybrid,4,2,0,6,48.9627,3.0925,social,social,social,0,1
U00021,new_cold_customer,hybrid,2,2,1,5,74.9856,1.0125,social,social,social,0,1
U00022,loyal_customer,fixed,2,0,0,2,208.3557,5.8122,email,email,email,0,0
U00023,new_cold_customer,hybrid,5,4,0,9,37.2811,2.0108,social,social,social,0,1
U00024,loyal_customer,fixed,3,1,0,4,89.2073,1.2796,social,social,social,0,1
U00025,price_sensitive,fixed,1,1,0,2,0.0,7.883,social,social,social,0,1
U00026,new_cold_customer,fixed,4,0,0,4,25.2948,6.1152,social,social,email,0,0
U00027,new_cold_customer,hybrid,3,0,0,3,32.6918,6.2358,social,social,social,0,0
U00028,new_cold_customer,hybrid,3,2,1,6,51.7396,3.2121,social,email,social,0,1
U00029,new_cold_customer,trigger,3,2,2,7,12.5081,1.0635,social,social,social,0,1
U00030,price_sensitive,trigger,1,0,0,1,0.0,1.1355,email,email,email,0,0
U00031,new_cold_customer,hybrid,5,2,1,8,36.3087,2.3005,email,email,social,0,1
U00032,low_engagement,hybrid,3,0,0,3,67.9998,2.2662,social,social,social,0,0
U00033,new_cold_customer,trigger,5,0,0,5,75.8215,2.0155,social,social,social,0,0
U00034,high_intent,fixed,6,4,1,12,21.2703,1.2159,social,social,social,1,0
U00035,new_cold_customer,hybrid,4,1,0,5,12.7847,2.8836,social,social,social,0,1
U00036,loyal_customer,fixed,4,2,0,6,37.2557,3.0531,ad,ad,email,0,1
U00037,price_sensitive,hybrid,3,0,0,3,87.8522,2.1858,ad,ad,email,0,0
U00038,low_engagement,hybrid,4,3,0,7,37.0664,2.442,social,social,social,0,1
U00039,loyal_customer,hybrid,5,2,2,10,20.7691,1.0741,email,social,email,1,0
U00040,new_cold_customer,fixed,5,2,0,7,35.709,5.2253,social,ad,social,0,1
U00041,loyal_customer,fixed,2,2,2,8,28.7831,1.9746,email,email,social,1,0
