user_id,segment,confidence
U00000,loyal_customer,0.87
U00001,loyal_customer,0.9
U00002,high_intent,0.99
U00003,low_engagement,0.71
U00004,low_engagement,0.71
U00005,low_engagement,0.68
U00006,new_cold_customer,0.7
U00007,low_engagement,0.74
U00008,high_intent,0.97
U00009,new_cold_customer,0.67
U00010,new_cold_customer,0.7
U00011,low_engagement,0.68
U00012,new_cold_customer,0.67
U00013,high_intent,0.99
U00014,loyal_customer,0.9
U00015,new_cold_customer,0.64
U00016,loyal_customer,0.9
U00017,new_cold_customer,0.7
U00018,new_cold_customer,0.67
U00019,low_engagement,0.68
U00020,loyal_customer,0.87
U00021,new_cold_customer,0.61
U00022,loyal_customer,0.81
U00023,new_cold_customer,0.7
U00024,loyal_customer,0.84
U00025,price_sensitive,0.73
U00026,new_cold_customer,0.67
U00027,new_cold_customer,0.64
U00028,new_cold_customer,0.64
U00029,new_cold_customer,0.64
U00030,price_sensitive,0.73
U00031,new_cold_customer,0.7
U00032,low_engagement,0.74
U00033,new_cold_customer,0.7
U00034,high_intent,0.99
U00035,new_cold_customer,0.67
U00036,loyal_customer,0.87
U00037,price_sensitive,0.79
U00038,low_engagement,0.77
U00039,loyal_customer,0.9
U00040,new_cold_customer,0.7
U00041,loyal_customer,0.81
U00042,new_cold_customer,0.64
U00043,low_engagement,0.68
U00044,loyal_customer,0.84
U00045,low_engagement,0.68
U00046,price_sensitive,0.79
U00047,new_cold_customer,0.61
U00048,loyal_customer,0.9
U00049,high_intent,0.99
U00050,low_engagement,0.71
U00051,high_intent,0.99
U00052,low_engagement,0.77
U00053,new_cold_customer,0.7
U00054,low_engagement,0.71
U00055,new_cold_customer,0.67
U00056,loyal_customer,0.81
U00057,new_cold_customer,0.7
U00058,loyal_customer,0.87
U00059,loyal_customer,0.87
U00060,loyal_customer,0.84
U00061,low_engagement,0.74
U00062,low_engagement,0.74
U00063,new_cold_customer,0.61
U00064,price_sensitive,0.79
U00065,price_sensitive,0.73
U00066,new_cold_customer,0.61
U00067,new_cold_customer,0.64
U00068,new_cold_customer,0.67
U00069,new_cold_customer,0.7
U00070,loyal_customer,0.87
U00071,new_cold_customer,0.61
U00072,new_cold_customer,0.64
U00073,price_sensitive,0.73
U00074,loyal_customer,0.9
U00075,low_engagement,0.74
U00076,low_engagement,0.77
U00077,new_cold_customer,0.67
U00078,price_sensitive,0.79
U00079,new_cold_customer,0.61
U00080,loyal_customer,0.9
U00081,price_sensitive,0.79
U00082,high_intent,0.99
U00083,new_cold_customer,0.64
U00084,new_cold_customer,0.64
U00085,price_sensitive,0.79
U00086,low_engagement,0.77
U00087,low_engagement,0.71
U00088,low_engagement,0.71
U00089,high_intent,0.99
U00090,low_engagement,0.77
U00091,high_intent,0.99
U00092,loyal_customer,0.9
U00093,high_intent,0.97
U00094,new_cold_customer,0.61
U00095,low_engagement,0.71
U00096,high_intent,0.94
U00097,low_engagement,0.68
U00098,low_engagement,0.74
U00099,high_intent,0.99
U00100,new_cold_customer,0.64
U00101,price_sensitive,0.79
U00102,high_intent,0.99
U00103,new_cold_customer,0.64
U00104,loyal_customer,0.9
U00105,low_engagement,0.68
U00106,new_cold_customer,0.61
U00107,new_cold_customer,0.61
U00108,loyal_customer,0.84
U00109,new_cold_customer,0.7
U00110,low_engagement,0.77
U00111,new_cold_customer,0.64
U00112,low_engagement,0.74
U00113,low_engagement,0.68
U00114,new_cold_customer,0.67
U00115,new_cold_customer,0.61
U00116,loyal_customer,0.9
U00117,loyal_customer,0.81
U00118,new_cold_customer,0.67
U00119,new_cold_customer,0.67
U00120,price_sensitive,0.73
U00121,low_engagement,0.68
U00122,price_sensitive,0.79
U00123,new_cold_customer,0.67
U00124,new_cold_customer,0.7
U00125,new_cold_customer,0.7
U00126,new_cold_customer,0.67
U00127,new_cold_customer,0.7
U00128,high_intent,0.99
U00129,new_cold_customer,0.67
U00130,new_cold_customer,0.64
