feature,mean_abs_shap
journey_length,3.6814134
n_clicks,2.9991622
n_sent,1.0960133
n_opens,1.0896448
avg_time_between_events_hours,0.17450318
segment_high_intent,0.16414961
strategy_fixed,0.047666047
segment_new_cold_customer,0.04752404
segment_loyal_customer,0.043853905
recency_days,0.033704143
dominant_channel_ad,0.0042918655
first_channel_ad,0.0029653579
first_channel_email,0.0027841562
strategy_trigger,0.0018020095
dominant_channel_social,0.0017663273
dominant_channel_offer,0.00096911367
dominant_channel_email,0.00077221845
strategy_hybrid,0.00039022925
first_channel_offer,3.671633e-05
segment_low_engagement,0.0
first_channel_social,0.0
last_channel_ad,0.0
last_channel_email,0.0
last_channel_offer,0.0
last_channel_social,0.0
segment_price_sensitive,0.0
