feature,mean_abs_shap
n_opens,3.0788715
journey_length,2.8933897
n_clicks,1.4099193
n_sent,0.9311273
avg_time_between_events_hours,0.1245579
segment_high_intent,0.099590845
segment_new_cold_customer,0.058492005
strategy_fixed,0.042051658
segment_loyal_customer,0.02405488
recency_days,0.010778901
first_channel_email,0.009303303
strategy_trigger,0.0072120344
last_channel_social,0.005874232
dominant_channel_ad,0.004001925
first_channel_social,0.0035652807
last_channel_email,0.0016247174
strategy_hybrid,0.0010130357
dominant_channel_social,0.00073092646
dominant_channel_email,0.0003013851
dominant_channel_offer,0.0
first_channel_ad,0.0
segment_low_engagement,0.0
first_channel_offer,0.0
last_channel_ad,0.0
last_channel_offer,0.0
segment_price_sensitive,0.0
