seed,strategy,messages_sent,users,open_rate,ctr,conversions,conversions_per_1000_sends,messages_per_user
42,fixed,32000,8000,0.2425,0.0468,216,6.75,4.0
42,trigger,10596,8000,0.2475,0.0478,108,10.1925,1.3245
42,hybrid,24348,8000,0.2311,0.0421,187,7.6803,3.0435
43,fixed,32000,8000,0.2428,0.0469,225,7.0312,4.0
43,trigger,10596,8000,0.2476,0.0477,114,10.7588,1.3245
43,hybrid,24400,8000,0.2331,0.043,195,7.9918,3.05
44,fixed,32000,8000,0.2431,0.0475,227,7.0938,4.0
44,trigger,10639,8000,0.2506,0.0495,105,9.8693,1.3299
44,hybrid,24446,8000,0.2314,0.0431,196,8.0177,3.0558
45,fixed,32000,8000,0.2418,0.0471,234,7.3125,4.0
45,trigger,10612,8000,0.2494,0.0499,117,11.0253,1.3265
45,hybrid,24429,8000,0.2312,0.0431,202,8.2689,3.0536
46,fixed,32000,8000,0.2415,0.0472,227,7.0938,4.0
46,trigger,10564,8000,0.2452,0.0474,115,10.886,1.3205
46,hybrid,24362,8000,0.2285,0.0431,199,8.1685,3.0452
47,fixed,32000,8000,0.2421,0.0465,227,7.0938,4.0
47,trigger,10587,8000,0.2467,0.0469,101,9.54,1.3234
47,hybrid,24374,8000,0.2313,0.0417,182,7.467,3.0468
48,fixed,32000,8000,0.2416,0.047,227,7.0938,4.0
48,trigger,10613,8000,0.2487,0.0479,116,10.93,1.3266
48,hybrid,24422,8000,0.2322,0.0438,200,8.1893,3.0528
49,fixed,32000,8000,0.2422,0.0481,228,7.125,4.0
49,trigger,10594,8000,0.2471,0.0491,116,10.9496,1.3242
49,hybrid,24358,8000,0.2296,0.0432,202,8.293,3.0448
50,fixed,32000,8000,0.2427,0.047,219,6.8438,4.0
50,trigger,10593,8000,0.2472,0.0469,112,10.573,1.3241
50,hybrid,24386,8000,0.2318,0.0425,187,7.6683,3.0482
51,fixed,32000,8000,0.2418,0.0468,228,7.125,4.0
51,trigger,10591,8000,0.2466,0.048,105,9.9141,1.3239
51,hybrid,24355,8000,0.2299,0.0423,189,7.7602,3.0444
52,fixed,32000,8000,0.2416,0.0483,232,7.25,4.0
52,trigger,10610,8000,0.2485,0.0486,113,10.6503,1.3262
52,hybrid,24383,8000,0.2298,0.0424,197,8.0794,3.0479
53,fixed,32000,8000,0.2419,0.0481,237,7.4062,4.0
53,trigger,10614,8000,0.2484,0.0496,118,11.1174,1.3268
53,hybrid,24401,8000,0.2327,0.0437,199,8.1554,3.0501
54,fixed,32000,8000,0.2412,0.0472,216,6.75,4.0
54,trigger,10575,8000,0.2455,0.0475,102,9.6454,1.3219
54,hybrid,24344,8000,0.2329,0.0433,189,7.7637,3.043
55,fixed,32000,8000,0.2427,0.0474,227,7.0938,4.0
