policy,share_targeted,incremental_responders
uplift (S-learner),0.0001,0.0
uplift (S-learner),0.0101,24.98
uplift (S-learner),0.0202,36.65
uplift (S-learner),0.0303,58.43
uplift (S-learner),0.0404,77.73
uplift (S-learner),0.0505,93.48
uplift (S-learner),0.0606,110.77
uplift (S-learner),0.0707,113.97
uplift (S-learner),0.0808,148.35
uplift (S-learner),0.0909,164.73
uplift (S-learner),0.101,160.65
uplift (S-learner),0.1111,180.55
uplift (S-learner),0.1212,182.66
uplift (S-learner),0.1314,191.92
uplift (S-learner),0.1415,212.47
uplift (S-learner),0.1515,221.6
uplift (S-learner),0.1616,227.66
uplift (S-learner),0.1717,242.22
uplift (S-learner),0.1818,258.06
uplift (S-learner),0.1919,260.71
uplift (S-learner),0.202,278.72
uplift (S-learner),0.2121,286.23
uplift (S-learner),0.2222,300.79
uplift (S-learner),0.2323,323.37
uplift (S-learner),0.2424,324.31
uplift (S-learner),0.2526,335.99
uplift (S-learner),0.2627,348.24
uplift (S-learner),0.2728,363.23
uplift (S-learner),0.2829,371.17
uplift (S-learner),0.2929,386.54
uplift (S-learner),0.303,400.08
uplift (S-learner),0.3131,405.2
uplift (S-learner),0.3232,413.69
uplift (S-learner),0.3333,419.74
uplift (S-learner),0.3434,427.41
uplift (S-learner),0.3535,440.83
uplift (S-learner),0.3636,447.41
uplift (S-learner),0.3738,455.47
uplift (S-learner),0.3839,471.99
uplift (S-learner),0.394,469.95
uplift (S-learner),0.4041,476.55
uplift (S-learner),0.4142,487.88
uplift (S-learner),0.4243,493.93
uplift (S-learner),0.4343,501.56
uplift (S-learner),0.4444,516.28
uplift (S-learner),0.4545,516.31
uplift (S-learner),0.4646,518.15
uplift (S-learner),0.4747,523.68
uplift (S-learner),0.4848,532.46
uplift (S-learner),0.4949,539.01
uplift (S-learner),0.5051,537.51
uplift (S-learner),0.5152,537.81
uplift (S-learner),0.5253,544.13
uplift (S-learner),0.5354,549.0
uplift (S-learner),0.5455,537.62
uplift (S-learner),0.5556,555.42
uplift (S-learner),0.5657,573.09
uplift (S-learner),0.5757,586.61
uplift (S-learner),0.5858,606.62
uplift (S-learner),0.5959,614.36
uplift (S-learner),0.606,611.75
uplift (S-learner),0.6161,619.95
uplift (S-learner),0.6262,620.32
uplift (S-learner),0.6364,644.52
uplift (S-learner),0.6465,650.31
uplift (S-learner),0.6566,661.67
uplift (S-learner),0.6667,671.61
uplift (S-learner),0.6768,684.75
uplift (S-learner),0.6869,692.49
uplift (S-learner),0.697,685.86
uplift (S-learner),0.7071,691.9
uplift (S-learner),0.7171,690.44
uplift (S-learner),0.7272,699.57
uplift (S-learner),0.7373,701.84
uplift (S-learner),0.7474,704.82
uplift (S-learner),0.7576,709.41
uplift (S-learner),0.7677,717.04
uplift (S-learner),0.7778,713.53
uplift (S-learner),0.7879,718.32
uplift (S-learner),0.798,724.93
